,num. of creatures,num. of foods
0,5,0
1,5,25
2,4,37
3,4,51
4,4,62
5,2,72
6,2,93
7,2,109
8,2,115
9,2,128
10,2,143
11,2,155
12,2,169
13,2,169
14,3,175
15,3,191
16,3,201
17,2,219
18,2,238
19,2,248
20,3,267
21,3,279
22,6,287
23,7,292
24,8,299
25,11,295
26,19,288
27,23,278
28,24,266
29,25,249
30,29,236
31,28,221
32,35,184
33,44,148
34,44,121
35,37,109
36,34,104
37,25,109
38,18,113
39,14,109
40,15,118
41,14,114
42,13,123
43,9,128
44,11,138
45,10,145
46,11,147
47,14,155
48,14,154
49,12,158
50,12,153
51,9,158
52,16,146
53,18,145
54,18,146
55,17,146
56,17,142
57,18,142
58,21,140
59,23,134
60,25,133
61,22,125
62,17,126
63,19,131
64,18,132
65,13,127
66,18,128
67,20,123
68,23,114
69,27,100
70,23,95
71,23,86
72,22,82
73,22,81
74,19,76
75,17,83
76,17,79
77,16,81
78,10,94
79,8,111
80,8,115
81,7,119
82,9,131
83,10,137
84,13,134
85,13,134
86,13,132
87,16,127
88,15,122
89,13,132
90,11,142
91,10,148
92,9,164
93,10,172
94,10,167
95,13,169
96,17,164
97,17,171
98,16,170
99,16,174
100,14,167
